"Timestamp,""Informed Consent"
This research is conducted by MSc AI Online student at the University of Hull to evaluate the performance of several chatbot systems.
Your participation is voluntary, and you could withdraw  any time before submitting the survey. You could skip any question you do not wish to answer.
All responses are anonymous, and only be used for academic purposes.
"Please confirm that you have read and understood the above information and that you agree to participate in this survey."",""C1.Relevance"",""C2.Coherence"",""C3.Ambiguity Handling"",""C4.User Satisfaction"",""F1.Relevance"",""F2.Coherence"",""F3.Ambiguity Handling"",""F4.User Satisfaction"",""R1.Relevance"",""R2.Coherence"",""R3.Ambiguity Handling"",""R4.User Satisfaction"",""Please share any comment:"""
"2025/10/07 4:08:33 pm GMT+7,""I agree and give my consent to participate in this survey"",""4"",""4"",""5"",""5"",""8"",""8"",""5"",""9"",""7"",""7"",""5"",""8"",""Federated RAG is the most precious one I have tested and compared with two other models. But this Federated RAG is the most precious to give the responses."""
"2025/10/08 1:19:34 pm GMT+7,""I agree and give my consent to participate in this survey"",""7"",""6"",""7"",""6"",""7"",""8"",""8"",""7"",""7"",""6"",""8"",""7"","""""
"2025/10/08 2:37:14 pm GMT+7,""I agree and give my consent to participate in this survey"",""9"",""8"",""9"",""8"",""10"",""8"",""9"",""9"",""9"",""8"",""9"",""9"","""""
"2025/10/08 3:07:02 pm GMT+7,""I agree and give my consent to participate in this survey"",""8"",""8"",""8"",""8"",""9"",""9"",""9"",""9"",""6"",""6"",""6"",""6"","""""
"2025/10/08 3:50:41 pm GMT+7,""I agree and give my consent to participate in this survey"",""8"",""8"",""7"",""9"",""9"",""9"",""8"",""9"",""9"",""9"",""7"",""9"",""Simple and coherent survey """
"2025/10/09 4:34:38 pm GMT+7,""I agree and give my consent to participate in this survey"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"","""""
"2025/10/09 6:20:43 pm GMT+7,""I agree and give my consent to participate in this survey"",""10"",""10"",""7"",""10"",""6"",""6"",""10"",""8"",""2"",""8"",""1"",""5"","""""
"2025/10/11 2:01:01 pm GMT+7,""I agree and give my consent to participate in this survey"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""5"","""""
"2025/10/12 10:46:58 am GMT+7,""I agree and give my consent to participate in this survey"",""9"",""9"",""8"",""9"",""9"",""9"","""",""10"",""8"",""7"",""7"",""8"",""All three chatbots performed well. Federated RAG provided the most comprehensive responses with excellent transparency. Centralized RAG was very coherent and relevant. Retrieval-Based was fastest but less comprehensive. Overall, great implementations for MSc AI program information."""
"2025/10/12 12:17:11 pm GMT+7,""I agree and give my consent to participate in this survey"",""7"",""7"",""7"",""7"",""10"",""10"",""10"",""10"",""9"",""9"",""9"",""9"","""""
