Participant,Chatbot_Type,Relevance,Coherence,Ambiguity_Handling,User_Satisfaction
1,Centralized_RAG,4,4,5,5
2,Centralized_RAG,7,6,7,6
3,Centralized_RAG,9,9,9,8
4,Centralized_RAG,8,8,8,8
5,Centralized_RAG,8,8,7,9
6,Centralized_RAG,10,10,10,10
7,Centralized_RAG,10,10,7,10
8,Centralized_RAG,5,5,5,5
9,Centralized_RAG,9,9,8,9
10,Centralized_RAG,7,7,7,7
11,Centralized_RAG,7,7,7,7
12,Centralized_RAG,8,8,8,8
13,Centralized_RAG,7,8,7,8
14,Centralized_RAG,8,8,7,7
15,Centralized_RAG,7,6,7,8
16,Centralized_RAG,7,6,6,7
17,Centralized_RAG,8,7,7,7
18,Centralized_RAG,8,8,8,8
19,Centralized_RAG,7,7,7,7
20,Centralized_RAG,7,7,7,7
21,Centralized_RAG,7,7,7,7
22,Centralized_RAG,8,8,8,8
23,Centralized_RAG,8,8,8,8
24,Centralized_RAG,7,7,7,7
25,Centralized_RAG,7,7,7,7
26,Centralized_RAG,8,8,8,8
27,Centralized_RAG,6,6,6,6
28,Centralized_RAG,8,8,8,8
29,Centralized_RAG,7,8,7,8
30,Centralized_RAG,7,6,7,7
1,Federated_RAG,8,8,5,9
2,Federated_RAG,7,8,8,7
3,Federated_RAG,10,8,9,9
4,Federated_RAG,9,9,9,9
5,Federated_RAG,9,9,8,9
6,Federated_RAG,10,10,10,10
7,Federated_RAG,6,6,10,8
8,Federated_RAG,5,5,5,5
9,Federated_RAG,9,9,9,10
10,Federated_RAG,10,10,10,10
11,Federated_RAG,10,10,10,10
12,Federated_RAG,9,9,9,9
13,Federated_RAG,10,9,9,10
14,Federated_RAG,10,10,9,10
15,Federated_RAG,9,9,10,10
16,Federated_RAG,10,10,9,10
17,Federated_RAG,10,10,10,10
18,Federated_RAG,10,10,10,10
19,Federated_RAG,10,10,9,10
20,Federated_RAG,10,10,10,10
21,Federated_RAG,9,9,9,9
22,Federated_RAG,10,10,10,10
23,Federated_RAG,9,9,9,9
24,Federated_RAG,8,8,8,8
25,Federated_RAG,9,9,9,9
26,Federated_RAG,10,9,10,9
27,Federated_RAG,8,8,8,8
28,Federated_RAG,9,9,9,9
29,Federated_RAG,9,10,9,10
30,Federated_RAG,9,8,8,9
1,Retrieval_Based,7,7,5,8
2,Retrieval_Based,7,6,8,7
3,Retrieval_Based,9,8,9,9
4,Retrieval_Based,6,6,6,6
5,Retrieval_Based,9,9,7,9
6,Retrieval_Based,10,10,10,10
7,Retrieval_Based,2,8,1,5
8,Retrieval_Based,5,5,5,5
9,Retrieval_Based,8,7,7,8
10,Retrieval_Based,9,9,9,9
11,Retrieval_Based,6,6,6,6
12,Retrieval_Based,6,6,6,6
13,Retrieval_Based,7,6,6,7
14,Retrieval_Based,7,6,7,6
15,Retrieval_Based,6,6,7,7
16,Retrieval_Based,5,4,4,5
17,Retrieval_Based,5,5,5,5
18,Retrieval_Based,5,5,5,5
19,Retrieval_Based,5,4,4,4
20,Retrieval_Based,4,4,4,4
21,Retrieval_Based,6,6,6,6
22,Retrieval_Based,7,7,7,7
23,Retrieval_Based,6,6,6,6
24,Retrieval_Based,5,6,5,6
25,Retrieval_Based,5,6,5,6
26,Retrieval_Based,6,6,7,6
27,Retrieval_Based,5,5,5,5
28,Retrieval_Based,7,7,6,6
29,Retrieval_Based,6,7,6,7
30,Retrieval_Based,7,6,6,7
